customer_id,tenure_months,monthly_charges,total_charges,contract_type,internet_service,tech_support,payment_method,num_support_calls,churn
387,19,67.13,4864.94,Month-to-month,Fiber optic,No,Mailed check,2,1
388,58,117.91,3122.04,Month-to-month,Fiber optic,Yes,Bank transfer,2,0
389,1,83.41,1937.59,Month-to-month,DSL,No,Bank transfer,2,1
390,69,32.63,777.82,Two year,Fiber optic,Yes,Electronic check,2,0
391,4,87.62,2533.05,Month-to-month,Fiber optic,No,Credit card,1,1
392,16,52.51,791.23,Month-to-month,DSL,No,Bank transfer,0,1
393,24,88.63,1431.64,Month-to-month,No,No,Bank transfer,1,1
394,2,26.96,7898.94,One year,No,Yes,Electronic check,1,0
395,32,37.49,3563.95,Month-to-month,Fiber optic,No,Credit card,1,1
396,24,105.57,4264.34,Two year,DSL,Yes,Mailed check,1,0
397,12,42.72,6991.48,Month-to-month,Fiber optic,Yes,Mailed check,1,1
398,50,103.7,7964.64,Month-to-month,DSL,Yes,Electronic check,1,0
399,35,47.93,4670.06,One year,DSL,No,Electronic check,3,0
400,33,84.29,6503.54,Month-to-month,Fiber optic,No,Credit card,2,1
401,33,89.42,2628.99,Month-to-month,DSL,No,Electronic check,6,1
402,61,71.27,2459.84,Month-to-month,DSL,No,Electronic check,4,1
403,51,50.53,3233.58,One year,DSL,No,Electronic check,1,1
404,43,41.26,5386.61,Month-to-month,DSL,No,Credit card,1,1
405,12,23.32,5463.89,Month-to-month,DSL,Yes,Electronic check,1,1
406,67,50.39,2535.61,Two year,No,Yes,Bank transfer,2,0
407,65,85.32,1083.02,Month-to-month,DSL,No,Credit card,1,1
408,33,113.83,5066.52,Two year,DSL,No,Bank transfer,7,1
409,40,107.12,1044.04,One year,DSL,No,Credit card,0,1
410,43,96.61,4636.37,Month-to-month,No,No,Bank transfer,3,1
411,44,98.84,5553.51,Month-to-month,Fiber optic,Yes,Credit card,1,0
412,29,86.5,5610.88,Month-to-month,Fiber optic,Yes,Mailed check,1,1
413,13,46.03,6032.71,One year,No,No,Electronic check,1,0
414,12,110.72,6985.42,One year,Fiber optic,Yes,Electronic check,1,0
415,46,87.07,4009.67,One year,DSL,Yes,Credit card,1,0
416,2,76.04,5847.39,Two year,DSL,No,Bank transfer,1,1
417,35,31.1,4961.0,One year,Fiber optic,Yes,Mailed check,1,1
418,8,64.71,1509.39,Month-to-month,DSL,No,Bank transfer,0,1
419,26,66.04,225.0,Month-to-month,Fiber optic,No,Electronic check,2,1
420,34,106.46,2290.64,Two year,DSL,No,Electronic check,1,0
421,7,74.66,3555.41,Month-to-month,Fiber optic,Yes,Bank transfer,1,1
422,68,58.04,4944.51,Month-to-month,DSL,Yes,Credit card,0,1
423,58,117.68,6802.68,One year,DSL,No,Credit card,1,0
424,29,31.07,1586.04,Month-to-month,Fiber optic,Yes,Bank transfer,0,0
425,36,62.25,1021.89,Two year,No,Yes,Electronic check,3,0
426,21,24.2,7708.57,One year,Fiber optic,Yes,Bank transfer,4,0
427,36,93.99,882.2,Month-to-month,Fiber optic,Yes,Electronic check,1,1
428,10,111.81,3838.36,Two year,DSL,Yes,Bank transfer,0,0
429,24,48.0,4692.8,Month-to-month,DSL,No,Credit card,1,0
430,64,105.83,4340.17,Month-to-month,DSL,Yes,Mailed check,2,0
431,49,49.22,706.54,Month-to-month,DSL,Yes,Electronic check,0,0
432,36,111.08,475.07,Month-to-month,DSL,No,Mailed check,0,1
433,24,95.4,861.76,Month-to-month,DSL,No,Credit card,2,1
434,23,100.49,4692.99,Month-to-month,Fiber optic,Yes,Bank transfer,2,1
435,62,21.8,4363.87,Month-to-month,DSL,Yes,Credit card,2,0
436,37,116.28,1885.25,Month-to-month,Fiber optic,No,Mailed check,1,1
437,12,92.67,5109.44,One year,Fiber optic,No,Credit card,2,0
438,55,50.48,6564.14,Two year,Fiber optic,No,Credit card,2,0
439,13,102.94,351.8,Month-to-month,Fiber optic,No,Bank transfer,2,1
440,23,48.15,3995.08,Month-to-month,DSL,Yes,Mailed check,1,0
441,30,107.28,5520.7,Month-to-month,DSL,No,Mailed check,2,1
442,17,31.26,2033.45,Month-to-month,Fiber optic,Yes,Mailed check,1,1
443,62,90.37,2476.01,One year,No,No,Electronic check,3,0
444,13,74.07,4916.83,One year,DSL,No,Credit card,1,1
445,59,29.65,7185.52,Month-to-month,DSL,No,Mailed check,2,1
446,19,44.19,6483.2,Month-to-month,No,Yes,Credit card,0,0
447,49,21.24,4673.38,Month-to-month,DSL,Yes,Bank transfer,0,1
448,12,66.88,5847.17,One year,Fiber optic,No,Bank transfer,3,1
449,61,50.13,2931.28,Month-to-month,Fiber optic,No,Electronic check,3,1
450,19,79.84,5134.9,Two year,DSL,No,Electronic check,0,0
451,9,49.72,3740.13,One year,Fiber optic,Yes,Bank transfer,1,0
452,71,49.99,1535.69,Month-to-month,Fiber optic,Yes,Mailed check,1,1
453,28,94.32,5619.87,One year,DSL,No,Bank transfer,3,0
454,52,24.81,4460.59,Two year,Fiber optic,Yes,Credit card,1,0
455,16,110.29,2881.8,One year,Fiber optic,No,Electronic check,1,1
456,69,105.23,7292.49,Month-to-month,Fiber optic,No,Electronic check,1,0
457,12,86.78,187.05,Month-to-month,DSL,No,Bank transfer,3,1
458,25,79.32,2539.87,Two year,Fiber optic,No,Mailed check,4,1
459,52,109.23,473.91,One year,Fiber optic,No,Mailed check,0,0
460,53,38.53,6136.89,One year,Fiber optic,Yes,Credit card,1,0
461,23,27.9,5622.82,Two year,Fiber optic,No,Electronic check,1,0
462,16,43.95,2664.19,Two year,DSL,Yes,Bank transfer,0,0
463,57,99.46,5411.79,Two year,Fiber optic,No,Bank transfer,0,0
464,39,23.47,3179.58,Month-to-month,Fiber optic,Yes,Electronic check,2,1
465,53,78.28,6054.91,Month-to-month,DSL,No,Bank transfer,1,1
466,42,119.54,3644.39,One year,Fiber optic,Yes,Electronic check,2,0
467,58,105.57,3309.99,One year,DSL,Yes,Mailed check,2,0
468,39,72.14,7479.14,One year,Fiber optic,No,Mailed check,1,1
469,14,26.36,2022.02,Month-to-month,DSL,Yes,Bank transfer,1,0
470,5,103.14,981.17,One year,Fiber optic,No,Mailed check,0,1
471,35,79.9,4684.65,One year,No,No,Mailed check,1,0
472,18,31.49,7755.19,Month-to-month,Fiber optic,Yes,Credit card,0,1
473,9,29.39,3035.16,Month-to-month,No,No,Electronic check,2,1
474,58,110.96,515.05,Month-to-month,No,Yes,Electronic check,6,1
475,17,86.92,2727.66,Month-to-month,DSL,Yes,Bank transfer,2,1
476,7,102.93,4057.33,Month-to-month,Fiber optic,No,Electronic check,1,1
477,46,107.9,1312.15,Month-to-month,Fiber optic,No,Credit card,1,1
478,13,77.18,5271.66,Month-to-month,No,Yes,Bank transfer,5,1
479,40,71.74,7982.04,One year,DSL,No,Bank transfer,0,1
480,42,63.04,3624.88,One year,No,No,Electronic check,4,0
481,9,51.69,2850.73,Two year,Fiber optic,No,Mailed check,1,0
482,50,63.46,3217.62,Month-to-month,Fiber optic,Yes,Mailed check,0,1
483,27,97.39,938.87,Month-to-month,DSL,No,Mailed check,0,0
484,66,80.19,7068.52,Two year,DSL,No,Mailed check,0,0
485,5,109.25,3330.31,Month-to-month,Fiber optic,No,Credit card,1,1
486,29,64.34,3110.45,Two year,DSL,No,Bank transfer,2,0
487,37,80.71,5284.33,Two year,No,No,Mailed check,0,0
488,38,83.13,3547.43,Month-to-month,DSL,Yes,Credit card,1,0
489,8,79.17,5192.9,Two year,Fiber optic,No,Bank transfer,0,1
490,65,90.26,510.34,Month-to-month,Fiber optic,Yes,Electronic check,0,1
491,17,43.74,6513.51,Month-to-month,Fiber optic,Yes,Electronic check,1,1
492,71,71.24,7525.22,One year,Fiber optic,No,Credit card,2,0
493,45,30.42,5197.15,Month-to-month,DSL,Yes,Bank transfer,2,1
494,4,58.45,7637.44,Two year,DSL,No,Mailed check,1,1
495,36,68.77,1228.43,Month-to-month,DSL,No,Bank transfer,0,1
496,70,85.22,3829.78,Month-to-month,Fiber optic,Yes,Mailed check,4,1
497,31,115.05,4822.42,One year,Fiber optic,No,Credit card,4,1
498,19,80.07,4662.26,One year,Fiber optic,No,Mailed check,1,1
499,61,94.36,3223.66,Month-to-month,Fiber optic,No,Credit card,1,1
500,54,70.63,2717.91,Month-to-month,Fiber optic,No,Bank transfer,1,1
501,39,83.41,1032.06,Two year,Fiber optic,Yes,Bank transfer,1,0
502,19,27.09,3146.1,Month-to-month,DSL,No,Mailed check,2,1
503,39,45.44,1318.03,Two year,DSL,No,Bank transfer,0,0
504,67,56.19,5880.24,One year,No,Yes,Mailed check,1,0
505,45,67.25,1686.47,One year,No,No,Bank transfer,1,0
506,13,24.56,487.35,One year,DSL,No,Electronic check,0,0
507,58,34.0,4427.88,Month-to-month,Fiber optic,Yes,Mailed check,0,1
508,20,47.68,4769.93,One year,No,Yes,Credit card,3,0
509,61,117.15,6977.87,Two year,Fiber optic,No,Electronic check,2,0
510,39,53.13,4624.31,Month-to-month,DSL,Yes,Credit card,1,0
511,1,68.2,2776.94,Two year,DSL,No,Bank transfer,0,0
512,3,39.61,6428.03,Month-to-month,Fiber optic,Yes,Electronic check,0,0
513,62,81.08,4331.43,Month-to-month,No,No,Bank transfer,0,1
514,63,48.07,652.66,Month-to-month,Fiber optic,Yes,Mailed check,1,0
515,25,40.7,4535.49,Two year,DSL,Yes,Credit card,0,0
516,56,71.66,7265.99,Month-to-month,DSL,No,Bank transfer,1,1
517,33,20.55,3182.57,Two year,Fiber optic,No,Credit card,0,0
518,38,20.77,2384.68,Two year,No,No,Credit card,1,0
519,6,41.91,1164.89,Month-to-month,Fiber optic,No,Bank transfer,2,1
520,58,23.67,1228.54,Month-to-month,Fiber optic,Yes,Mailed check,1,1
521,44,30.8,3473.52,One year,DSL,Yes,Credit card,3,0
522,45,53.89,4773.52,Month-to-month,No,No,Bank transfer,4,1
523,32,100.26,663.31,One year,Fiber optic,No,Mailed check,3,0
524,45,77.2,7517.76,Month-to-month,DSL,No,Bank transfer,1,1
525,61,71.27,6045.97,Month-to-month,Fiber optic,Yes,Mailed check,1,1
526,47,49.35,4701.26,One year,DSL,No,Credit card,2,1
527,21,113.18,6630.94,Month-to-month,DSL,Yes,Electronic check,2,0
528,36,59.7,659.89,Month-to-month,DSL,No,Bank transfer,1,1
529,19,28.71,3825.17,Month-to-month,DSL,No,Credit card,0,1
530,20,81.71,5048.14,Month-to-month,DSL,Yes,Bank transfer,2,1
531,57,31.38,6632.65,Month-to-month,Fiber optic,No,Bank transfer,0,1
532,18,54.52,6272.09,Two year,Fiber optic,Yes,Mailed check,2,0
533,47,70.74,2231.01,Month-to-month,Fiber optic,No,Bank transfer,0,1
534,49,107.42,7528.22,Month-to-month,DSL,Yes,Mailed check,2,1
535,14,69.35,1012.28,One year,DSL,No,Credit card,3,0
536,15,90.23,7003.57,Month-to-month,Fiber optic,Yes,Bank transfer,5,1
537,31,119.28,7768.1,Month-to-month,Fiber optic,No,Credit card,1,1
538,1,33.15,1433.69,Two year,DSL,No,Electronic check,2,0
539,54,47.47,5782.09,One year,No,No,Credit card,1,0
540,3,59.46,341.48,One year,Fiber optic,Yes,Bank transfer,0,1
541,16,62.18,3255.27,One year,No,No,Electronic check,2,0
542,57,61.1,4139.94,Month-to-month,Fiber optic,Yes,Mailed check,1,0
543,12,110.76,4653.55,One year,DSL,No,Electronic check,1,0
544,16,91.4,7488.78,Month-to-month,Fiber optic,Yes,Bank transfer,0,0
545,24,80.79,5384.56,Month-to-month,DSL,No,Bank transfer,1,1
546,28,50.94,3860.6,Month-to-month,Fiber optic,Yes,Credit card,2,1
547,8,102.38,6481.21,Month-to-month,DSL,Yes,Mailed check,2,1
548,36,115.51,7605.25,Month-to-month,No,Yes,Bank transfer,1,0
549,8,102.12,196.09,Two year,DSL,No,Bank transfer,1,0
550,58,20.16,7860.52,Month-to-month,No,Yes,Mailed check,0,1
551,60,83.64,707.33,Month-to-month,No,No,Mailed check,1,1
552,50,25.11,6518.81,Month-to-month,Fiber optic,No,Credit card,2,1
553,28,45.76,2257.07,Month-to-month,Fiber optic,No,Electronic check,1,1
554,41,25.95,1074.79,One year,Fiber optic,No,Mailed check,2,0
555,64,80.38,3530.05,Month-to-month,No,Yes,Bank transfer,2,0
556,27,88.66,5158.77,Month-to-month,Fiber optic,No,Mailed check,2,1
557,63,31.45,3060.0,Month-to-month,Fiber optic,Yes,Bank transfer,1,0
558,17,58.38,455.43,One year,Fiber optic,No,Credit card,0,1
559,33,65.62,4803.7,Month-to-month,No,Yes,Electronic check,3,1
560,29,56.91,7221.18,Month-to-month,Fiber optic,No,Credit card,5,1
561,13,32.1,3078.06,Month-to-month,Fiber optic,Yes,Mailed check,0,0
562,46,61.89,1746.34,Month-to-month,Fiber optic,No,Bank transfer,0,1
563,35,95.12,3551.77,Month-to-month,No,Yes,Mailed check,1,1
564,6,27.1,405.93,One year,Fiber optic,No,Mailed check,2,0
565,69,28.02,6567.49,One year,DSL,Yes,Mailed check,1,1
566,47,55.48,6614.2,Two year,Fiber optic,No,Mailed check,2,0
567,25,114.17,4712.24,Month-to-month,No,No,Electronic check,4,1
568,66,86.86,2837.76,Month-to-month,Fiber optic,No,Bank transfer,1,0
569,10,87.87,6402.27,Month-to-month,No,No,Mailed check,1,1
570,56,56.19,4446.4,Two year,DSL,No,Bank transfer,2,1
571,30,79.37,6610.94,One year,Fiber optic,No,Electronic check,2,1
572,5,21.01,5059.04,One year,Fiber optic,No,Bank transfer,2,0
573,33,83.61,6279.56,Month-to-month,No,No,Bank transfer,1,0
574,65,111.33,4796.53,Month-to-month,DSL,No,Electronic check,2,1
575,18,81.26,3324.85,Month-to-month,No,Yes,Mailed check,0,0
576,49,107.37,7664.41,One year,Fiber optic,No,Bank transfer,0,0
577,11,92.4,4338.09,Two year,DSL,No,Credit card,3,0
578,26,32.06,4848.61,Two year,DSL,Yes,Bank transfer,5,0
579,63,110.25,1779.49,Month-to-month,DSL,No,Mailed check,2,0
580,59,26.64,5012.69,Month-to-month,Fiber optic,Yes,Credit card,0,0
581,27,73.4,4581.43,Two year,DSL,Yes,Mailed check,3,0
582,49,34.21,1495.01,One year,DSL,No,Bank transfer,0,1
583,33,21.17,495.51,Month-to-month,No,No,Electronic check,0,0
584,1,62.2,4842.79,Month-to-month,DSL,No,Mailed check,0,1
585,21,49.5,6114.26,Month-to-month,DSL,No,Mailed check,1,0
586,55,68.6,4196.74,Month-to-month,Fiber optic,No,Electronic check,3,1
587,6,77.72,1829.65,Month-to-month,Fiber optic,Yes,Bank transfer,2,1
588,69,24.37,5338.85,One year,Fiber optic,Yes,Mailed check,0,0
589,5,32.3,659.24,Month-to-month,Fiber optic,No,Bank transfer,0,1
590,3,75.86,3545.83,Month-to-month,Fiber optic,Yes,Bank transfer,0,1
591,53,54.32,1323.67,Month-to-month,Fiber optic,No,Bank transfer,0,1
592,23,92.92,1491.98,Two year,DSL,No,Electronic check,1,0
593,53,85.23,1634.31,One year,DSL,Yes,Bank transfer,4,0
594,37,104.56,3105.92,Month-to-month,Fiber optic,No,Bank transfer,1,1
595,17,89.25,428.18,Two year,Fiber optic,No,Credit card,4,1
596,1,62.99,3194.39,Two year,Fiber optic,No,Credit card,0,0
597,51,87.3,4103.43,Month-to-month,Fiber optic,No,Credit card,0,1
598,45,47.54,3876.69,Month-to-month,Fiber optic,No,Mailed check,3,1
599,4,50.63,3074.62,One year,DSL,Yes,Mailed check,5,0
600,62,98.9,6716.39,Two year,DSL,No,Credit card,1,0
601,65,64.64,1179.71,Two year,Fiber optic,No,Electronic check,0,1
602,32,99.84,4055.46,Two year,Fiber optic,No,Electronic check,2,0
603,34,102.24,515.09,One year,Fiber optic,No,Credit card,2,0
604,39,105.76,587.82,Month-to-month,DSL,No,Mailed check,1,1
605,26,111.66,4599.45,Month-to-month,Fiber optic,Yes,Mailed check,2,0
606,34,63.1,4536.83,Month-to-month,No,No,Electronic check,1,1
607,54,51.89,7026.71,Month-to-month,DSL,No,Bank transfer,1,1
608,3,78.22,4471.83,One year,Fiber optic,Yes,Electronic check,0,0
609,50,57.12,7679.13,One year,No,Yes,Bank transfer,0,0
610,12,80.11,408.58,One year,DSL,No,Mailed check,2,0
611,65,90.56,802.1,Month-to-month,Fiber optic,No,Mailed check,4,1
612,54,88.84,371.65,One year,DSL,No,Credit card,1,0
613,5,57.46,1498.51,Month-to-month,Fiber optic,No,Mailed check,2,1
614,57,36.69,4339.34,Month-to-month,DSL,No,Bank transfer,1,1
615,17,63.05,5171.67,One year,No,No,Electronic check,0,0
616,47,34.26,383.77,One year,Fiber optic,No,Credit card,0,1
617,23,109.01,7568.85,Two year,Fiber optic,Yes,Bank transfer,3,0
618,14,54.59,6740.48,Month-to-month,Fiber optic,No,Electronic check,2,1
619,66,35.45,2386.97,Month-to-month,Fiber optic,No,Electronic check,1,1
620,51,22.54,635.96,Month-to-month,Fiber optic,No,Electronic check,0,1
621,38,84.58,1375.7,Month-to-month,No,No,Mailed check,2,1
622,64,83.69,1033.02,Two year,No,No,Electronic check,0,0
623,38,54.06,1003.8,One year,Fiber optic,Yes,Mailed check,0,0
624,50,27.17,4158.12,Two year,No,Yes,Electronic check,1,0
625,30,60.96,1981.86,Month-to-month,Fiber optic,Yes,Electronic check,2,1
626,51,51.12,2877.95,Two year,Fiber optic,Yes,Mailed check,2,0
627,63,87.71,7916.25,Month-to-month,Fiber optic,No,Mailed check,0,1
628,52,80.58,5480.83,Two year,DSL,Yes,Bank transfer,1,0
629,38,56.46,7592.87,Month-to-month,DSL,Yes,Electronic check,0,1
630,30,41.79,1157.6,Month-to-month,DSL,No,Mailed check,0,1
631,51,118.8,3069.47,Month-to-month,Fiber optic,No,Bank transfer,4,1
632,5,65.4,4446.76,Two year,Fiber optic,Yes,Bank transfer,1,0
633,29,88.83,632.53,Month-to-month,Fiber optic,No,Mailed check,0,1
634,4,34.06,53.42,Month-to-month,No,No,Electronic check,0,1
635,10,68.56,5370.07,Two year,Fiber optic,Yes,Bank transfer,0,0
636,56,22.75,5141.72,Month-to-month,Fiber optic,Yes,Electronic check,0,1
637,17,70.55,3298.09,Month-to-month,DSL,No,Electronic check,1,0
638,17,116.4,3927.36,Month-to-month,DSL,No,Bank transfer,3,1
639,69,58.42,3335.24,Month-to-month,Fiber optic,No,Mailed check,1,1
640,34,23.9,211.56,Two year,Fiber optic,Yes,Electronic check,0,0
641,6,23.1,2696.27,One year,Fiber optic,No,Credit card,0,0
642,53,58.8,1433.12,Month-to-month,DSL,No,Mailed check,2,1
643,66,36.0,805.43,Two year,Fiber optic,Yes,Bank transfer,0,0
644,43,22.34,7654.63,Month-to-month,DSL,No,Credit card,1,1
645,23,95.62,4802.89,Month-to-month,DSL,No,Electronic check,1,1
646,55,65.85,5834.68,Month-to-month,DSL,Yes,Mailed check,1,1
647,16,48.92,2536.6,Month-to-month,DSL,No,Credit card,1,0
648,8,110.01,3157.31,Month-to-month,DSL,No,Mailed check,2,1
649,4,31.61,1910.65,Two year,DSL,Yes,Electronic check,6,0
650,4,115.59,793.79,One year,No,No,Mailed check,6,1
651,56,51.4,1448.67,Month-to-month,DSL,Yes,Credit card,5,1
652,25,108.84,6384.16,One year,DSL,No,Mailed check,1,1
653,67,80.29,5426.82,One year,DSL,Yes,Bank transfer,2,0
654,67,102.67,4384.49,Two year,Fiber optic,Yes,Bank transfer,0,0
655,27,118.4,3811.22,Two year,DSL,No,Credit card,4,0
656,32,48.84,7381.03,Month-to-month,No,No,Mailed check,1,0
657,50,116.11,600.42,One year,No,No,Credit card,1,1
658,61,58.95,2259.19,One year,DSL,Yes,Mailed check,2,0
659,51,58.55,2812.5,One year,Fiber optic,Yes,Electronic check,1,0
660,19,54.04,6263.76,Month-to-month,DSL,No,Bank transfer,1,1
661,21,74.14,7940.27,Month-to-month,Fiber optic,No,Electronic check,0,1
662,5,35.41,1940.55,Month-to-month,Fiber optic,Yes,Mailed check,1,0
663,42,75.37,6996.97,Month-to-month,DSL,No,Electronic check,2,1
664,61,74.17,6648.37,Month-to-month,DSL,No,Credit card,0,1
665,22,96.19,1812.77,One year,Fiber optic,No,Credit card,2,1
666,21,103.36,3206.67,Month-to-month,Fiber optic,No,Mailed check,3,1
667,70,64.04,3289.19,One year,DSL,Yes,Bank transfer,3,0
668,1,50.23,7826.2,Month-to-month,Fiber optic,No,Credit card,1,1
669,5,45.93,1463.52,Two year,Fiber optic,Yes,Bank transfer,3,0
670,12,39.46,6397.28,Month-to-month,No,No,Mailed check,2,1
671,46,25.76,2686.86,Month-to-month,DSL,No,Bank transfer,0,1
672,34,54.24,5852.35,One year,Fiber optic,No,Mailed check,1,0
673,49,47.02,3371.69,Two year,Fiber optic,No,Electronic check,2,0
674,45,116.64,4635.31,Two year,DSL,No,Mailed check,3,1
675,27,75.77,6664.24,Month-to-month,Fiber optic,No,Electronic check,2,1
676,26,54.73,6437.24,Month-to-month,Fiber optic,No,Mailed check,1,1
677,47,78.05,6934.06,Two year,No,No,Credit card,0,0
678,56,33.92,495.75,Month-to-month,DSL,No,Credit card,2,0
679,63,64.4,5542.56,One year,Fiber optic,Yes,Bank transfer,4,0
680,48,82.62,1137.1,Month-to-month,Fiber optic,Yes,Mailed check,0,0
681,61,68.89,3338.23,Month-to-month,No,Yes,Mailed check,2,1
682,26,60.18,4397.74,Month-to-month,DSL,No,Mailed check,1,1
683,36,119.38,3233.86,Month-to-month,No,No,Bank transfer,0,1
684,1,108.03,4166.5,One year,No,No,Credit card,4,1
685,8,82.34,7972.28,Two year,DSL,No,Mailed check,0,0
686,52,76.94,1099.03,Month-to-month,No,No,Bank transfer,2,1
687,47,82.07,5410.14,Two year,No,Yes,Mailed check,2,0
688,56,40.13,3180.09,Month-to-month,DSL,Yes,Electronic check,2,1
689,14,59.51,1081.42,Month-to-month,Fiber optic,No,Mailed check,2,0
690,28,23.95,1286.72,Month-to-month,Fiber optic,Yes,Electronic check,3,1
691,2,67.55,7595.2,Two year,DSL,No,Bank transfer,0,0
692,26,74.3,7039.22,One year,DSL,No,Bank transfer,1,1
693,14,42.77,7258.19,One year,DSL,No,Credit card,1,1
694,59,116.4,7932.43,Two year,DSL,No,Mailed check,1,0
695,56,110.95,1682.36,One year,Fiber optic,No,Bank transfer,1,0
696,7,92.21,2856.41,Two year,DSL,Yes,Credit card,2,0
697,3,73.34,5360.37,One year,No,No,Mailed check,0,1
698,23,107.0,3880.74,Two year,Fiber optic,No,Bank transfer,0,0
699,18,33.07,3358.75,Month-to-month,DSL,Yes,Electronic check,2,1
700,38,99.05,2875.33,Month-to-month,Fiber optic,Yes,Bank transfer,1,0
701,15,32.48,4758.37,Month-to-month,Fiber optic,No,Electronic check,3,1
702,64,99.42,4613.24,Month-to-month,No,Yes,Credit card,1,1
703,28,47.58,1308.43,One year,DSL,Yes,Credit card,2,0
704,39,107.71,3784.48,Month-to-month,DSL,No,Mailed check,4,1
705,57,114.4,4436.7,One year,No,No,Mailed check,1,0
706,17,34.88,4570.89,Month-to-month,No,Yes,Mailed check,0,0
707,44,66.27,1696.66,Month-to-month,Fiber optic,Yes,Credit card,2,0
708,25,118.1,5943.33,Month-to-month,Fiber optic,No,Electronic check,4,1
709,17,68.34,221.09,Two year,DSL,Yes,Mailed check,1,0
710,13,106.35,2851.56,Month-to-month,Fiber optic,No,Mailed check,1,1
711,25,78.87,6246.1,Month-to-month,DSL,No,Credit card,2,1
712,68,57.53,4519.87,One year,DSL,Yes,Electronic check,1,0
713,10,48.58,2104.08,One year,No,Yes,Bank transfer,2,0
714,67,40.32,5565.73,Month-to-month,DSL,Yes,Mailed check,1,0
715,18,96.18,4547.78,Month-to-month,Fiber optic,Yes,Bank transfer,2,1
716,34,58.65,6374.02,Month-to-month,No,Yes,Bank transfer,1,0
717,8,71.13,5885.5,Two year,DSL,No,Mailed check,1,0
718,40,69.23,4888.66,Month-to-month,No,Yes,Credit card,1,0
719,42,77.73,3915.66,Month-to-month,No,No,Mailed check,2,1
720,41,106.56,1082.79,Month-to-month,Fiber optic,No,Electronic check,1,1
721,6,118.07,2105.44,Month-to-month,DSL,Yes,Electronic check,2,0
722,52,60.76,3364.41,One year,DSL,Yes,Mailed check,1,0
723,26,102.75,4802.41,Month-to-month,Fiber optic,Yes,Bank transfer,2,1
724,64,96.45,4119.39,Month-to-month,DSL,Yes,Electronic check,1,0
725,59,77.35,2319.71,Month-to-month,DSL,No,Electronic check,2,0
726,56,115.6,71.59,Month-to-month,No,Yes,Mailed check,0,0
727,59,40.05,3979.99,Month-to-month,DSL,No,Mailed check,4,1
728,70,30.93,2299.3,Two year,Fiber optic,No,Credit card,3,1
729,33,105.4,5882.17,One year,DSL,No,Mailed check,2,0
730,53,63.91,211.09,Two year,Fiber optic,No,Mailed check,0,1
731,22,104.7,4686.93,Two year,No,No,Electronic check,0,0
732,21,109.31,7532.96,One year,DSL,Yes,Electronic check,1,0
733,70,26.25,1411.79,Month-to-month,DSL,Yes,Electronic check,1,0
734,70,108.35,3783.76,One year,Fiber optic,No,Bank transfer,3,0
735,4,64.83,749.55,Two year,Fiber optic,Yes,Electronic check,1,0
736,62,71.04,5012.94,One year,Fiber optic,No,Electronic check,4,1
737,62,82.66,4413.24,Month-to-month,DSL,No,Mailed check,5,1
738,24,112.64,3270.78,Month-to-month,DSL,No,Credit card,1,1
739,55,21.91,4180.59,Two year,No,No,Electronic check,1,0
740,9,67.68,7174.67,One year,No,No,Credit card,3,1
741,3,88.77,1586.43,Two year,Fiber optic,No,Electronic check,3,0
742,31,92.27,200.06,Month-to-month,No,No,Electronic check,3,1
743,40,89.25,6896.09,Month-to-month,Fiber optic,No,Credit card,2,1
744,36,33.44,4625.39,Month-to-month,Fiber optic,No,Mailed check,2,1
745,24,49.94,7127.45,One year,DSL,No,Electronic check,2,0
746,6,55.87,4783.62,Month-to-month,Fiber optic,No,Credit card,1,1
747,66,100.44,6485.09,Month-to-month,Fiber optic,No,Electronic check,1,1
748,4,47.88,3448.79,Two year,DSL,No,Bank transfer,2,1
749,6,41.07,6003.88,Month-to-month,Fiber optic,No,Bank transfer,2,1
750,51,115.74,7306.07,Two year,Fiber optic,Yes,Bank transfer,1,0
751,62,20.89,4585.54,Month-to-month,Fiber optic,No,Bank transfer,3,1
752,57,119.78,1462.67,Two year,Fiber optic,Yes,Mailed check,3,0
753,66,87.68,2165.0,One year,No,No,Bank transfer,4,0
754,8,102.85,1605.18,Two year,DSL,No,Credit card,1,0
755,26,49.46,1989.92,Two year,Fiber optic,No,Electronic check,3,1
756,51,21.43,2465.2,Month-to-month,Fiber optic,Yes,Credit card,1,1
757,45,93.79,4449.97,Month-to-month,Fiber optic,No,Bank transfer,3,1
758,44,103.41,4712.17,Month-to-month,DSL,No,Mailed check,1,1
759,5,94.05,3423.47,One year,DSL,Yes,Bank transfer,1,0
760,70,34.29,4931.06,Two year,No,Yes,Bank transfer,2,0
761,26,95.34,670.97,Month-to-month,Fiber optic,No,Mailed check,2,0
762,68,96.89,720.55,One year,No,No,Mailed check,1,1
763,19,85.85,1391.2,Month-to-month,Fiber optic,Yes,Mailed check,0,1
764,20,96.61,4154.26,Two year,Fiber optic,No,Mailed check,0,0
765,12,104.59,1727.68,Two year,No,No,Mailed check,3,0
766,47,81.36,2280.61,Month-to-month,Fiber optic,No,Mailed check,0,1
767,1,28.86,3214.5,Month-to-month,Fiber optic,No,Electronic check,1,1
768,14,68.76,6498.69,Month-to-month,Fiber optic,No,Bank transfer,1,1
769,64,27.76,130.62,One year,No,No,Bank transfer,3,0
770,38,60.75,5202.04,Month-to-month,Fiber optic,No,Mailed check,1,1
771,37,60.71,5357.63,Month-to-month,Fiber optic,Yes,Credit card,2,0
